Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
3,17,11,6,S,K,Y,B,B,F,8,J,B,15,2,A,R,N,43,9,N,12,A,3,40,1,21,7,Y,N,B,3,2
7,8,1,1,N,H,Y,B,B,F,8,H,B,20,1,A,K,N,19,18,Y,7,B,2,25,1,16,3,N,N,A,7,1
4,8,18,4,W,H,N,B,B,B,12,L,B,20,1,A,I,N,97,21,N,16,A,2,40,1,19,5,Y,N,E,2,7
2,6,12,7,B,A,Y,B,B,D,3,B,B,15,3,A,B,Y,82,8,N,5,A,4,37,1,1,7,Y,Y,E,6,4
1,6,14,3,B,A,Y,B,B,D,3,B,B,15,3,A,B,N,34,8,Y,13,A,4,31,1,21,5,Y,N,D,5,11
4,19,18,2,B,H,Y,B,B,E,8,J,B,20,1,A,N,N,43,19,N,8,B,2,25,1,17,1,N,N,A,4,1
1,3,5,3,N,B,Y,B,B,D,2,B,B,10,1,A,B,N,64,7,Y,7,A,2,28,1,16,2,Y,N,D,7,2
7,16,16,1,B,H,N,B,B,E,8,H,B,15,3,A,R,N,30,10,Y,10,D,2,40,1,4,6,Y,N,C,3,9
6,7,18,1,N,B,Y,B,B,D,8,B,B,10,2,A,I,N,66,9,N,12,A,2,22,2,21,6,Y,N,E,2,6
2,4,5,4,N,K,Y,B,B,E,12,J,B,10,1,A,R,Y,82,9,N,5,A,2,37,1,23,6,Y,Y,E,3,4
1,8,20,6,W,I,N,B,B,E,3,J,B,20,1,A,N,Y,80,13,N,7,A,2,37,2,9,4,Y,Y,E,2,3
1,9,15,2,N,K,Y,B,B,E,3,H,B,20,1,A,K,N,97,14,N,22,A,2,34,1,19,6,Y,N,E,2,11
11,7,15,2,B,K,Y,B,B,E,3,H,B,20,3,A,N,N,97,8,N,15,A,2,37,1,18,3,Y,N,E,2,1
4,5,3,2,B,A,N,B,B,D,8,B,B,20,1,A,B,N,63,9,N,3,A,1,25,1,20,2,Y,N,E,1,3
7,11,3,2,N,C,N,B,B,D,8,B,B,20,1,A,E,N,30,19,N,2,B,2,34,1,17,6,N,N,A,2,1
1,13,18,6,N,H,Y,B,B,F,12,J,B,15,2,A,K,Y,47,14,Y,16,B,2,40,1,1,6,Y,Y,D,2,1
2,3,18,1,N,B,Y,B,B,D,2,L,B,10,1,A,I,Y,62,10,N,14,C,2,31,1,16,4,Y,Y,E,2,1
7,13,20,4,N,K,Y,B,B,E,7,H,B,10,3,A,K,N,92,17,N,15,A,1,34,1,13,3,Y,N,E,1,10
1,7,8,5,H,A,N,B,B,D,3,B,B,20,2,A,B,N,67,6,Y,3,B,2,25,1,8,7,N,N,A,2,1
1,2,15,1,C,K,Y,B,B,E,3,J,B,10,2,A,K,N,49,17,N,16,C,2,34,1,23,4,Y,N,E,2,2
18,7,17,1,N,A,Y,B,B,D,8,B,D,5,1,A,I,N,13,5,N,9,A,2,40,1,20,6,N,N,A,1,12
1,19,3,2,N,C,N,B,B,D,8,B,B,20,2,A,B,N,48,10,N,5,B,2,37,1,5,4,N,N,A,5,1
1,4,10,1,N,A,Y,B,B,D,3,A,B,15,3,A,B,N,8,8,N,6,A,2,40,1,12,2,Y,N,C,4,4
8,18,15,4,B,I,Y,B,B,E,8,J,B,20,3,A,K,N,38,10,N,11,A,1,40,1,2,7,N,N,A,1,3
10,19,16,5,W,C,N,B,B,D,7,B,B,20,1,A,A,N,40,11,N,8,B,2,28,1,18,1,N,N,A,3,5
4,13,19,3,N,C,Y,B,B,D,7,B,C,20,1,A,I,N,89,18,Y,14,A,2,40,1,21,7,Y,N,E,2,10
4,11,21,1,N,K,Y,B,B,E,7,H,B,20,3,A,K,N,52,28,N,12,A,2,37,1,5,3,Y,N,C,2,3
2,7,5,3,B,K,N,B,B,E,12,M,B,10,3,A,R,N,100,10,Y,20,A,2,22,1,17,4,Y,N,C,2,4
2,11,18,1,N,K,N,B,B,E,3,H,B,20,1,A,K,N,41,13,Y,16,C,1,28,1,18,4,Y,N,E,1,1
11,5,12,3,B,I,N,B,B,E,12,J,B,20,1,A,K,Y,100,5,Y,18,A,1,34,1,11,4,Y,Y,E,1,11
8,16,11,7,N,H,N,B,B,E,3,I,B,15,1,A,R,N,11,6,Y,3,B,2,31,1,17,7,N,N,A,2,1
1,12,22,2,E,K,N,B,B,E,3,H,B,15,1,H,R,Y,38,19,N,13,A,2,37,1,20,7,Y,Y,E,2,5
1,11,19,4,N,C,N,B,C,D,3,L,B,10,1,A,A,N,61,16,Y,10,A,1,40,1,16,5,N,N,A,1,4
1,7,15,5,E,H,N,B,B,E,3,I,B,10,3,D,K,N,61,11,Y,3,B,2,31,1,3,3,N,N,E,2,1
1,1,19,4,C,K,Y,B,B,E,3,H,B,15,1,A,L,N,31,18,Y,16,A,5,37,1,21,6,N,N,E,1,4
3,8,16,2,N,K,Y,B,B,E,12,J,B,20,1,A,K,N,24,18,N,10,A,2,25,1,24,2,Y,N,E,2,5
2,14,14,5,N,A,N,B,B,D,3,B,B,10,1,A,I,Y,84,8,N,4,C,2,40,1,8,3,Y,Y,E,2,3
11,5,18,7,S,I,N,B,B,E,3,H,B,10,1,A,J,N,36,9,Y,5,A,2,40,1,16,1,Y,N,B,2,2
1,7,5,3,B,A,N,B,B,D,2,B,B,10,3,A,B,Y,99,8,N,6,B,2,40,1,14,6,Y,Y,E,2,1
6,15,16,4,W,I,Y,B,C,E,3,J,B,10,1,A,R,N,79,16,N,15,A,1,22,1,21,3,Y,N,D,1,11
1,12,21,4,B,C,N,B,B,B,8,E,B,20,1,D,I,N,67,21,Y,14,A,2,37,1,15,6,Y,N,E,2,11
1,5,24,5,N,D,Y,D,B,D,3,E,B,15,1,A,I,N,91,29,N,8,A,2,31,1,20,4,Y,N,E,2,1
4,9,24,3,N,K,N,B,B,E,7,H,B,15,1,A,J,N,97,13,N,17,A,2,25,1,17,7,N,N,A,2,10
8,15,13,3,E,K,Y,B,B,F,3,H,B,10,2,H,K,N,44,20,N,6,A,2,37,1,6,1,Y,N,E,2,1
17,14,15,8,E,K,N,D,B,F,12,H,C,20,2,A,K,N,83,5,N,8,C,2,37,1,1,5,Y,N,E,2,1
8,15,19,3,N,K,N,B,B,E,8,I,B,15,1,A,N,N,23,12,Y,5,A,1,37,1,1,6,Y,N,C,1,2
1,15,18,2,N,B,Y,B,B,D,3,B,B,15,1,S,B,N,49,9,Y,13,A,2,40,1,18,3,Y,N,E,2,3
1,18,15,2,B,H,Y,B,B,D,3,B,B,10,3,A,B,N,26,13,N,7,A,2,22,1,17,2,Y,N,E,2,2
1,17,15,4,N,H,N,B,B,E,8,J,B,10,1,A,K,N,45,10,Y,4,B,2,28,1,9,4,N,N,A,5,1
2,4,13,3,W,K,N,B,B,E,8,H,B,15,1,A,J,Y,73,9,Y,4,C,2,31,1,15,7,Y,Y,E,2,1
2,14,19,5,N,C,N,B,B,B,12,B,B,10,1,A,I,N,1,30,N,16,A,3,25,1,25,6,Y,N,E,3,11
1,19,1,1,N,A,N,B,B,D,3,B,B,15,3,A,B,N,29,8,Y,4,B,2,31,1,20,5,N,N,A,2,1
4,10,21,4,N,C,Y,B,B,D,8,L,B,20,1,A,D,N,24,22,N,4,C,1,34,1,4,7,Y,N,E,1,1
2,7,9,2,E,A,N,B,B,D,12,B,B,15,3,A,B,N,49,9,N,14,A,2,28,1,16,3,Y,N,E,2,5
2,19,4,3,E,A,Y,B,B,B,8,L,B,10,2,A,D,N,36,15,N,15,B,1,37,1,6,1,N,N,A,1,1
8,10,16,4,N,H,Y,B,B,E,12,H,B,10,1,A,R,N,26,17,N,4,B,1,37,1,12,4,Y,N,E,1,1
1,8,8,3,B,H,Y,B,C,D,8,B,B,20,1,A,B,N,25,13,N,7,B,2,31,1,18,4,N,N,A,3,1
4,8,12,2,N,H,N,B,B,D,12,L,B,15,1,A,B,N,69,16,N,6,A,2,34,1,22,6,Y,N,E,2,1
3,7,16,5,B,K,Y,B,B,E,12,J,B,10,2,A,R,N,46,11,N,10,A,3,40,1,5,3,N,N,A,3,5
7,17,1,1,B,H,N,B,B,E,2,H,B,20,3,A,M,N,21,7,N,12,B,1,25,1,5,6,N,N,A,1,1
2,1,11,3,C,A,N,B,B,D,3,F,B,20,3,N,B,N,41,18,N,9,A,3,37,1,21,1,Y,N,D,2,3
2,7,5,4,B,A,Y,B,B,D,3,B,B,10,1,A,E,N,90,7,N,18,A,1,31,1,17,2,Y,N,E,1,2
1,5,5,1,C,K,N,B,B,E,7,H,B,15,4,N,M,Y,93,10,N,20,A,2,28,1,17,7,Y,Y,E,2,3
7,14,11,8,N,H,N,B,B,D,3,A,B,20,3,A,I,N,84,10,Y,6,A,2,34,1,2,6,Y,N,E,3,3
1,5,1,1,C,K,N,B,B,F,3,H,C,5,3,D,L,N,100,8,Y,3,A,2,22,1,23,3,Y,N,E,2,1
2,13,17,4,N,C,Y,B,B,D,12,E,B,10,1,C,D,N,53,19,N,10,A,5,31,1,14,7,Y,N,E,6,4
1,1,20,2,C,A,N,B,B,D,2,L,B,20,3,N,D,N,23,15,Y,19,A,3,31,1,21,7,N,N,A,1,4
1,8,5,3,N,C,N,B,B,D,3,B,B,5,1,A,E,N,44,10,Y,6,A,2,40,1,18,5,Y,N,C,4,3
2,5,8,6,B,A,N,B,B,D,3,B,B,10,3,A,B,Y,74,8,Y,9,A,4,40,1,15,6,N,Y,E,6,1
7,11,8,5,N,K,N,B,B,E,3,J,B,15,1,A,J,N,77,16,N,15,A,1,40,1,20,5,Y,N,E,1,2
1,18,5,3,N,A,N,B,B,D,2,A,B,20,3,A,A,N,33,8,N,6,A,2,40,1,25,2,Y,N,E,1,1
4,19,4,3,B,K,Y,B,B,E,12,J,B,10,3,A,R,N,20,19,Y,11,A,2,40,1,2,4,Y,N,C,2,7
8,4,7,5,N,K,N,B,B,F,7,J,B,10,1,A,J,N,39,10,N,16,A,1,28,1,16,6,N,N,A,1,6
18,16,8,6,N,H,Y,B,B,E,7,H,B,10,1,A,K,N,78,10,N,9,E,3,34,1,1,1,N,N,B,4,6
6,14,18,2,N,C,Y,B,B,D,12,L,B,10,3,A,I,Y,90,13,Y,10,C,2,31,1,18,7,Y,Y,E,2,4
4,18,11,1,N,K,N,B,B,E,8,J,B,10,3,A,L,N,39,7,Y,11,A,1,37,1,6,3,N,N,D,2,3
2,18,3,2,N,H,Y,B,A,E,2,H,B,20,2,A,K,N,42,8,N,3,E,2,40,1,8,3,Y,N,E,1,3
1,14,11,5,E,K,Y,B,B,E,7,H,B,10,1,A,R,N,67,15,Y,4,A,2,22,1,19,6,N,N,A,2,2
10,15,4,3,N,H,N,B,B,D,8,B,B,10,1,A,B,N,39,13,N,9,A,2,34,1,17,5,Y,N,D,5,2
2,5,17,4,S,A,N,B,B,D,12,A,B,10,1,A,H,Y,58,9,N,9,C,2,37,1,6,1,Y,Y,E,2,1
1,19,7,5,N,A,N,B,B,D,7,B,B,15,3,A,B,N,30,8,N,6,A,1,31,1,3,6,Y,N,E,1,2
4,13,2,2,N,B,N,B,B,D,3,L,D,20,1,A,I,N,82,13,Y,17,E,1,40,1,1,7,Y,N,E,1,3
4,1,12,2,C,A,Y,B,B,D,8,F,B,5,1,N,B,N,39,13,N,19,A,2,40,1,21,6,Y,N,C,1,2
4,13,20,4,G,B,Y,B,B,D,3,L,B,15,1,A,D,N,79,16,Y,11,A,1,34,1,16,4,Y,N,E,1,1
13,13,22,4,N,C,N,C,B,D,2,L,C,20,3,A,I,N,35,22,Y,14,E,2,40,2,1,3,Y,N,C,2,1
8,13,20,3,N,C,N,B,B,D,3,L,B,20,1,A,A,N,59,18,Y,9,A,2,31,1,11,4,Y,N,C,5,5
18,8,5,1,N,K,Y,B,B,E,12,M,B,15,3,A,R,N,13,13,N,7,A,3,28,1,21,5,N,N,A,4,4
1,3,20,6,N,H,Y,B,B,E,7,H,B,15,1,A,R,N,75,16,N,2,B,2,37,1,7,4,N,N,A,2,1
4,17,4,3,N,A,N,A,B,D,3,B,B,15,3,A,I,N,42,7,Y,6,B,1,37,1,4,2,Y,N,E,1,1
2,18,17,2,B,I,Y,B,B,E,8,J,B,15,1,A,K,N,11,9,Y,8,A,2,40,1,14,7,Y,N,E,3,1
7,2,15,2,N,K,N,B,B,E,8,H,B,10,3,A,K,N,59,10,N,13,A,4,37,1,25,4,Y,N,E,1,1
1,12,3,2,N,K,Y,B,B,E,12,J,B,20,1,A,R,Y,73,11,N,5,C,2,31,1,6,4,Y,Y,E,4,3
4,16,18,7,N,A,Y,B,B,B,3,B,B,10,1,A,H,N,58,8,Y,15,A,1,34,1,12,7,N,N,A,1,3
2,4,7,2,B,C,N,B,B,D,2,B,B,10,3,A,H,Y,40,12,Y,10,C,2,28,1,20,5,Y,Y,E,2,10
2,4,1,1,N,B,Y,B,B,D,8,B,B,15,1,A,B,N,42,8,N,14,A,1,40,1,1,1,Y,N,C,1,1
5,8,22,2,E,C,N,B,B,D,8,L,B,15,1,A,I,N,57,21,N,15,A,3,37,1,18,7,Y,N,C,3,8
5,13,3,2,E,K,N,B,B,E,12,J,B,20,3,A,K,N,14,17,N,4,A,2,22,1,14,7,N,N,C,4,2
1,11,17,6,N,K,N,B,B,E,7,J,B,15,1,A,N,Y,99,14,N,14,A,7,22,1,18,7,Y,Y,E,7,11
3,3,4,3,G,H,N,B,C,D,2,L,B,10,1,C,I,N,82,14,N,9,A,2,28,1,2,4,Y,N,C,4,1
1,3,4,3,G,B,Y,B,A,D,8,L,B,15,1,A,E,N,85,11,Y,12,A,2,40,1,17,1,Y,N,E,2,2
1,4,7,5,N,A,Y,B,B,D,8,B,B,10,4,A,I,N,86,8,N,17,A,1,25,1,12,3,Y,N,C,1,2
22,5,18,2,C,K,Y,B,C,E,3,H,B,10,1,A,R,N,53,7,Y,3,A,3,31,1,21,4,Y,N,E,3,2
2,15,11,4,N,K,Y,B,B,E,3,H,B,15,1,A,N,Y,85,10,Y,10,A,2,37,1,19,6,Y,Y,C,4,5
4,14,4,3,N,K,Y,B,D,E,8,H,B,10,3,A,K,Y,87,14,N,11,A,1,31,1,1,4,Y,Y,E,1,5
8,10,11,4,N,H,N,B,B,E,12,J,B,20,1,A,K,N,12,13,N,10,B,2,31,1,8,5,Y,N,D,2,1
2,11,23,1,N,C,Y,B,B,D,7,L,B,15,1,A,I,Y,47,18,Y,6,A,4,34,2,2,3,Y,Y,C,4,4
7,8,17,3,W,H,N,B,B,D,3,B,B,20,1,A,B,N,42,15,N,4,B,2,37,1,5,1,N,N,A,2,1
1,14,9,6,N,K,N,B,B,E,8,J,B,10,4,A,R,N,69,9,Y,9,A,3,37,1,20,3,N,N,A,4,6
5,12,22,7,N,C,N,B,B,D,12,L,B,10,1,A,F,Y,64,15,Y,13,C,1,40,1,1,4,Y,Y,E,1,1
5,12,20,4,N,H,N,A,D,D,3,L,B,20,1,A,D,N,27,11,N,8,A,2,37,1,1,4,N,N,C,7,5
1,7,4,3,N,A,N,A,B,D,7,B,B,5,0,A,B,N,100,9,Y,19,A,2,37,1,8,6,Y,N,E,2,1
4,3,15,4,N,A,N,B,B,D,8,L,B,15,1,A,A,N,77,8,N,14,A,2,25,1,20,7,N,N,A,2,9
4,10,1,1,N,C,Y,B,D,B,7,L,B,5,2,A,I,N,24,15,N,4,B,2,40,1,1,5,Y,N,E,2,1
1,2,4,5,C,A,N,B,B,D,12,B,B,20,3,N,C,N,46,10,Y,11,A,1,34,1,22,6,Y,N,E,2,5
1,17,18,4,N,A,N,B,B,D,3,B,B,10,1,A,G,Y,97,8,N,12,A,1,31,1,13,7,Y,Y,C,1,4
5,7,3,2,B,A,N,B,B,D,3,B,B,15,3,A,B,N,99,11,N,21,A,2,28,1,6,3,Y,N,E,2,1
8,8,23,4,W,I,Y,B,B,E,8,J,B,15,1,A,R,N,77,15,Y,6,A,2,34,1,2,1,Y,N,C,3,3
7,14,20,1,B,C,N,B,B,D,12,B,B,10,1,A,I,N,37,13,N,4,B,2,28,1,18,6,Y,N,E,2,1
5,9,20,1,B,I,N,D,B,E,12,H,B,15,3,A,R,N,28,11,N,4,A,1,37,1,22,6,Y,N,D,1,1
1,6,3,2,W,I,Y,B,B,E,3,H,B,5,2,C,N,Y,89,9,Y,13,A,2,31,1,20,3,Y,Y,E,2,8
4,5,3,2,C,K,N,B,B,E,3,H,B,10,3,A,R,N,58,7,N,5,A,2,40,1,7,6,Y,N,E,2,1
2,14,19,4,N,B,Y,B,B,D,8,B,B,5,1,A,I,N,34,13,Y,3,A,2,34,1,11,4,Y,N,E,2,1
10,9,12,2,W,H,N,B,C,D,7,A,B,10,1,A,C,N,99,15,Y,15,A,2,34,1,9,1,Y,N,E,2,9
2,16,18,3,N,K,Y,B,B,E,2,H,B,20,1,A,J,Y,98,9,Y,9,A,1,28,1,8,6,Y,Y,E,1,2
4,2,14,4,C,K,N,B,B,E,12,J,B,15,1,N,N,N,98,6,N,19,A,2,40,1,17,3,N,N,A,2,5
4,8,20,2,C,K,Y,B,B,E,12,H,B,10,1,A,J,N,99,18,Y,17,A,2,40,1,5,3,Y,N,C,2,9
1,8,17,2,B,C,N,B,A,D,3,L,B,10,3,A,B,N,52,11,Y,5,C,2,37,1,18,1,Y,N,C,2,1
4,14,20,3,N,C,N,B,B,D,8,L,B,15,1,A,I,Y,67,26,N,5,C,2,37,1,25,4,Y,Y,E,2,1
